#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SAMAccountName","Created"
"con-thiago.eiras","16/04/2020 13:53:53"
"con-ibsen.nascimento","09/04/2020 15:41:32"
"con-bianca.amaral","03/04/2020 14:33:50"
"jasantos","06/04/2020 16:14:41"
"con-leonardo.leite","02/04/2020 13:01:46"
"rnascimento","06/04/2020 16:29:55"
"con-andrea.vieira","02/04/2020 13:05:20"
"con-jones.freitas","13/04/2020 17:12:41"
"gabriel.cruz","20/04/2020 09:55:26"
"con-julia.simplicio","17/04/2020 10:29:15"
"con-sormani.silva","08/04/2020 17:06:23"
"con-dayene.pereira","20/04/2020 16:07:34"
"con-ligia.silva","01/04/2020 17:43:27"
"joao.silva","17/04/2020 19:44:34"
"dgomes","01/04/2020 19:09:29"
"kelson.carvalho","01/04/2020 19:17:29"
"renata.martins","01/04/2020 19:25:23"
"con-fabio.gruber","07/04/2020 12:32:51"
"con-wanessa.rangel","03/04/2020 09:36:26"
"tharaujo","01/04/2020 13:58:06"
"contasarecebersjc","09/04/2020 16:04:39"
"O365.teste01","01/04/2020 11:51:46"
"O365.teste02","01/04/2020 12:13:00"
