#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","passwordlastset","passwordneverexpires","Enable"
"___VMware_Conv_SA___","23/07/2018 18:12:49","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_0800.net","02/07/2009 16:26:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_0800USN","13/08/2009 15:28:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_accessgateway","30/05/2018 11:52:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_adcservice","29/06/2009 10:12:14","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ADM_","14/01/2011 03:56:34","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_adm_ged","29/08/2009 11:25:29","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_admcripto","04/11/2009 12:49:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_admDMT","21/05/2019 11:02:00","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_adm-hyp","09/05/2008 13:34:51","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_agentbmc","03/02/2010 14:58:34","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_alertas-infra","04/05/2012 10:41:21","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ALM","02/04/2019 11:50:14","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_alteraprogferias","05/06/2012 11:37:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_althora",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_analisespam","05/12/2008 07:39:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_anp","12/08/2010 16:00:45","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_apl-riverbed","06/01/2014 16:08:57","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_appmanager","26/10/2012 16:04:16","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_appmetrics","05/10/2009 15:11:56","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
