#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","passwordlastset","passwordneverexpires"
"___VMware_Conv_SA___","23/07/2018 18:12:49","False"
"_0800.net","02/07/2009 16:26:02","True"
"_0800USN","13/08/2009 15:28:27","True"
"_accessgateway","30/05/2018 11:52:32","True"
"_adcservice","29/06/2009 10:12:14","False"
"_ADM_","14/01/2011 03:56:34","False"
"_adm_ged","29/08/2009 11:25:29","True"
"_admcripto","04/11/2009 12:49:36","True"
"_admDMT","21/05/2019 11:02:00","True"
"_adm-hyp","09/05/2008 13:34:51","True"
"_agentbmc","03/02/2010 14:58:34","False"
"_alertas-infra","04/05/2012 10:41:21","True"
"_ALM","02/04/2019 11:50:14","True"
"_alteraprogferias","05/06/2012 11:37:18","True"
"_althora",,"False"
"_analisespam","05/12/2008 07:39:35","True"
"_anp","12/08/2010 16:00:45","True"
"_apl-riverbed","06/01/2014 16:08:57","True"
"_appmanager","26/10/2012 16:04:16","True"
"_appmetrics","05/10/2009 15:11:56","True"
"_asp_admissao","07/08/2018 17:32:26","True"
"_ativacao-sfe","02/05/2012 09:21:18","True"
"_auditoriainterna","21/09/2016 14:27:15","True"
"_automacaobancaria","14/03/2013 10:18:13","True"
"_automatos","30/09/2019 11:55:04","True"
"_automic","26/04/2018 16:23:50","True"
"_Backup","06/04/2009 18:07:55","True"
"_backup_services","02/07/2009 15:08:10","True"
"_backup_sql","17/05/2010 11:49:51","True"
"_backup-MCT","14/04/2009 14:50:46","True"
"_Backuprcx","26/01/2010 13:46:52","True"
"_bpm","25/03/2009 16:49:27","True"
"_cacic","06/02/2009 09:52:06","True"
"_cadastro","20/08/2009 12:05:33","True"
"_caSGB","11/04/2019 12:16:25","True"
"_citrix-ds","04/06/2008 18:46:31","True"
"_cluster-evault","13/10/2010 08:50:15","True"
"_Cluster-exchange","13/09/2012 23:12:10","True"
"_cluster-FileServer","20/07/2012 16:07:11","True"
"_cluster-ged","13/08/2009 09:07:26","True"
"_cluster-gedb","13/08/2009 10:50:32","True"
"_CLUSTER-SQL","14/02/2008 20:17:28","True"
"_compuware","14/12/2009 10:17:55","True"
"_comunicacao_sgi","19/03/2018 11:02:44","True"
"_concessonariasQAS","15/08/2019 11:10:28","True"
"_controladoralcd","20/05/2010 16:50:05","True"
"_controlmhml","17/02/2017 07:25:26","True"
"_CORE","10/11/2008 09:13:13","True"
"_cpj","04/06/2008 19:46:52","True"
"_credito","31/07/2013 12:47:36","True"
"_cripto","26/10/2009 08:35:02","True"
"_CTMAGPRD","10/07/2015 12:28:00","True"
"_ctxadmin","05/08/2014 16:04:39","True"
"_cyberark","08/11/2019 17:14:20","True"
"_datafactory","19/07/2019 19:12:09","True"
"_dell-boomi","13/09/2018 07:58:52","True"
"_descarteti","06/08/2018 17:06:40","True"
"_desenv-hyp","22/07/2008 18:07:25","True"
"_desinfect","01/04/2009 16:24:44","True"
"_dimep","18/09/2014 11:10:58","True"
"_dispara","16/10/2009 17:31:03","True"
"_dlp-discover","01/09/2016 10:12:53","True"
"_ecapex","14/07/2008 12:21:58","False"
"_ecs","05/10/2005 15:29:30","True"
"_edgesite","16/09/2009 08:58:54","True"
"_EPM","02/01/2008 15:44:13","True"
"_EPM-SSP","02/01/2008 16:20:36","True"
"_ETLLumisHML","03/06/2014 15:35:27","True"
"_ETLLumisPRD","11/11/2011 10:41:10","True"
"_etlmisdev","03/06/2014 15:59:40","True"
"_etlmishml","03/06/2014 15:34:45","True"
"_etlmisprd","31/10/2011 09:58:27","True"
"_etlolapprd","23/12/2011 09:15:09","True"
"_etlpinhml","03/06/2014 15:33:37","True"
"_etlpinprd","28/10/2011 14:15:52","True"
"_ETLSalesForceHML","03/06/2014 15:32:31","True"
"_ETLSalesForcePRD","28/03/2011 14:50:26","True"
"_ETLSRCCHML","03/06/2014 15:36:39","True"
"_ETLSRCCPRD","24/07/2012 09:26:41","True"
"_evault","30/01/2015 16:51:27","True"
"_exadmindtc","29/06/2009 10:12:13","False"
"_exch","17/02/2014 11:00:41","True"
"_exchange-recover","09/10/2012 16:15:35","True"
"_exchsrvr","08/11/2006 12:46:33","True"
"_fax_usn",,"False"
"_frog","09/08/2013 13:48:08","True"
"_gaia","25/05/2012 12:24:40","True"
"_gaia2","29/11/2006 21:05:20","True"
"_gaia-hml","29/11/2006 21:11:14","True"
"_gps-homolog","28/05/2008 14:08:36","True"
"_greenmile-hml","17/03/2017 11:44:45","True"
"_greenmile-prd","11/04/2017 18:25:35","True"
"_Helpdesk","16/03/2006 10:23:15","True"
"_henry","25/10/2010 15:39:09","False"
"_highsec","16/02/2011 14:34:18","True"
"_highsec_desenv","04/05/2011 15:27:05","True"
"_horaciusadm","17/04/2019 15:02:58","True"
"_horcagent","06/05/2019 10:15:58","True"
"_Hyperion","29/11/2006 17:21:34","True"
"_hyperion-prd","23/01/2017 08:05:41","True"
"_IBMON","18/01/2005 07:19:05","True"
"_incidentes_DLP","10/11/2009 10:10:15","True"
"_Instancia-SQL","14/02/2008 23:56:09","True"
"_intalio_AD","10/09/2008 14:54:45","False"
"_integrafacil","31/01/2020 10:58:53","True"
"_integrafacilqa","29/11/2019 15:43:12","True"
"_inteligenciamercado","07/08/2019 10:55:39","True"
"_intranet","22/09/2014 16:37:10","True"
"_iona","16/12/2008 09:35:22","True"
"_isaserver","25/07/2008 16:17:09","True"
"_jboss","23/11/2011 12:28:27","True"
"_jenkins-dev","28/04/2017 14:53:25","True"
"_jenkins-prd","28/04/2017 14:55:01","True"
"_jenkins-qa","28/04/2017 14:44:56","True"
"_jenkins-server","29/06/2017 09:26:49","True"
"_jira","25/08/2009 17:33:50","True"
"_kpmg_pt",,"False"
"_lmagent","02/09/2011 11:54:32","True"
"_logwatch","25/11/2010 11:26:31","True"
"_lumis","07/12/2010 08:27:02","True"
"_lumis2","10/12/2010 11:43:48","False"
"_lumis-hml","16/11/2010 15:34:18","True"
"_lwc","14/09/2016 10:00:55","True"
"_lync","04/05/2011 11:18:39","True"
"_manutdadoscad","05/06/2012 11:34:16","True"
"_marketing","22/09/2016 13:17:25","True"
"_mdtbuild","03/04/2012 13:29:23","True"
"_mehomolog","18/12/2009 10:14:27","True"
"_meprod","18/12/2009 10:15:16","True"
